Family_fa,Given_fa,Paper_articleTitle,Paper_authorFullNames,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic,fa_insti,country
Kim,Ji Won,Personality traits and psychological motivations predicting selfie posting behaviors on social networking sites,"Kim, Ji Won (1)| Chock, T. Makana (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Syracuse Univ, SI Newhouse Sch Publ Commun, 215 Univ Pl, Syracuse, NY 13210 USA",USA
Kim,Seeun,Examining the antecedents and consequences of mobile app engagement,"Kim, Seeun (1)| Baek, Tae Hyun (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Auburn Univ, Dept Consumer & Design Sci, Auburn, AL 36849 USA",USA
Kim,Sora,Predictors of organizations' crisis communication approaches: Full versus limited disclosure,"Kim, Sora (1)| Wertz, Emma K. (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Florida, Dept Publ Relat, Coll Journalism & Commun, Gainesville, FL 32611 USA",USA
Kim,Ji Young,Effects of government public relations on international news coverage,"Kim, Ji Young (1)| Yang, Sung-Un (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Syracuse Univ, SI Newhouse Sch Publ Commun, Syracuse, NY 13244 USA",USA
Kim,Yeonsoo,Strategic communication of corporate social responsibility (CSR): Effects of stated motives and corporate reputation on stakeholder responses,"Kim, Yeonsoo (1)",2.52,0.39,94.47,0.02,1.96,0.65,"James Madison Univ, Sch Commun Studies, Harrisonburg, VA 22807 USA",USA
Kim,Young,Toward an effective government-public relationship: Organization-public relationship based on a synthetic approach to public segmentation,"Kim, Young (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Louisiana State Univ, Manship Sch Mass Commun, Baton Rouge, LA 70803 USA",USA
Kim,YW,Ethical standards appear to change with age and ideology: a survey of practitioners,"Kim, YW (1)| Choi, YJ (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Missouri, Sch Journalism, Columbia, MO 65211 USA",USA
Kim,Jangyul Robert,"""A theoretical perspective on """"fear"""" as an organizational motivator for initiating public relations activities""","Kim, Jangyul Robert (1)| Kim, Jeong-Nam (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Colorado State Univ, Dept Journalism & Tech Commun, Ft Collins, CO 80523 USA",USA
Kim,Soo-Yeon,Public relations' place in corporate social responsibility: Practitioners define their role,"Kim, Soo-Yeon (1)| Reber, Bryan H. (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Georgia, Dept Advertising & Publ Relat, Grady Coll Journalism & Mass Commun, Athens, GA 30602 USA",USA
Kim,Minsoo,Examining the role of sense of community: Linking local government public relationships and community-building,"Kim, Minsoo (1)| Cho, Moonhee (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Tennessee, Coll Commun & Informat, Sch Advertising & Publ Relat, 476 Commun,1345 Pk Dr, Knoxville, TN 37996 USA",USA
Kim,Cheonsoo,"Like, comment, and share on Facebook: How each behavior differs from the other","Kim, Cheonsoo (1)| Yang, Sung-Un (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Indiana Univ Bloomington, Media Sch, Bloomington, IN 47405 USA",USA
Kim,Minchul,Parental Influence on Adolescent Preference for Television Public Affairs Content: A South Korean Panel Study,"Kim, Minchul (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Indiana Univ, Media Sch, Franklin Hall,601 E Kirkwood Ave, Bloomington, IN 47405 USA",USA
Kim,Nam Young,"""RELEVANCE TO THE RESCUE: CAN """"SMART ADS"""" REDUCE NEGATIVE RESPONSE TO ONLINE AD CLUTTER?""","Kim, Nam Young (1)| Sundar, S. Shyam (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Louisiana State Univ, Manship Sch Mass Commun, Baton Rouge, LA 70803 USA",USA
Kim,Kihan,News story descriptions and the public's opinions of political candidates,"Kim, Kihan (1)| McCombs, Maxwell (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Hartford, Sch Commun, Hartford, CT 06117 USA",USA
Kim,Sei-Hill,Talking About School Bullying: News Framing of Who Is Responsible for Causing and Fixing the Problem,"Kim, Sei-Hill (1)| Telleen, Matthew W. (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ South Carolina, Grad Studies & Res, Sch Journalism & Mass Commun, Columbia, SC USA",USA
Kim,Young Mie,The DC factor? Advocacy groups in the news,"Kim, Young Mie (1)| McCluskey, Michael (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Wisconsin, Sch Journalism & Mass Commun, Madison, WI 53706 USA",USA
Kim,Heewon,"Differential Impacts of Functional, Geographical, and Hierarchical Diversity on Knowledge Sharing in the Midst of Organizational Change","Kim, Heewon (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Arizona State Univ, Hugh Downs Sch Human Commun, Tempe, AZ 85287 USA",USA
Kim,Kyongseok,Time Matters: Framing Antismoking Messages Using Current Smokers' Preexisting Perceptions of Temporal Distance to Smoking-Related Health Risks,"Kim, Kyongseok (1)| Kim, Hyang-Sook (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Towson Univ, Dept Mass Commun & Commun Studies, 8000 York Rd, Towson, MD 21252 USA",USA
Kim,Sungsu,Medical Drama Viewing and Healthy Lifestyle Behaviors: Understanding the Role of Health Locus of Control Beliefs and Education Level,"Kim, Sungsu (1)| Baek, Young Min (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Georgia, Grady Coll Journalism & Mass Commun, Dept Advertising & Publ Relat, 120 Hooper St, Athens, GA 30602 USA",USA
Kim,Hyojin,The Effects of Interactivity on Information Processing and Attitude Change: Implications for Mental Health Stigma,"Kim, Hyojin (1)| Stout, Patricia A. (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Florida, Dept Advertising, Coll Journalism & Commun, Gainesville, FL 32611 USA",USA
Kim,Hyang-Sook,Motivating contributions to online forums: can locus of control moderate the effects of interface cues?,"Kim, Hyang-Sook (1)| Sundar, S. Shyam (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Towson Univ, Dept Mass Commun & Commun Studies, Towson, MD 21252 USA",USA
Kim,Minji,"Reliable, valid and efficient evaluation of media messages Developing a message testing protocol","Kim, Minji (1)| Cappella, Joseph N. (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Calif San Francisco, Ctr Tobacco Control Res & Educ, San Francisco, CA 94143 USA",USA
Kim,Kyunghye,Profile of e-Patients: Analysis of Their Cancer Information-Seeking From a National Survey,"Kim, Kyunghye (1)| Kwon, Nahyun (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Florida State Univ, Sch Lib & Informat Studies, Coll Commun & Informat, Tallahassee, FL 32306 USA",USA
Kim,Sunny Jung,Emotional Expressions in Antismoking Television Advertisements: Consequences of Anger and Sadness Framing on Pathways to Persuasion,"Kim, Sunny Jung (1)| Niederdeppe, Jeff (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Dartmouth Coll, Geisel Sch Med Dartmouth, Lebanon, NH 03766 USA",USA
Kim,Jeong-Nam,Communication and Cybercoping: Coping With Chronic Illness Through Communicative Action in Online Support Networks,"Kim, Jeong-Nam (1)| Lee, Seungyoon (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Purdue Univ, Brian Lamb Sch Commun, W Lafayette, IN 47907 USA",USA
Kim,YM,Use and disuse of contextual primes in dynamic news environments,"Kim, YM (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Ohio State Univ, Columbus, OH 43210 USA",USA
Kim,Hyun Suk,Attracting Views and Going Viral: How Message Features and News-Sharing Channels Affect Health News Diffusion,"Kim, Hyun Suk (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Penn, Annenberg Sch Commun, Philadelphia, PA 19104 USA",USA
Kim,Dam Hee,Media Diversity Policies for the Public: Empirical Evidence Examining Exposure Diversity and Democratic Citizenship,"Kim, Dam Hee (1)| Kwak, Nojin (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Michigan, Dept Commun Studies, Ann Arbor, MI 48109 USA",USA
Kim,Yeolib,Personality predictors for the use of multiple internet functions,"Kim, Yeolib (1)| Jeong, Jae Seon (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Texas Austin, Sch Informat, Austin, TX 78712 USA",USA
Kim,Jinyoung,How Did the Information Flow in the #AlphaGo Hashtag Network? A Social Network Analysis of the Large-Scale Information Network on Twitter,"Kim, Jinyoung (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Penn State Univ, Donald P Bellisario Coll Commun, 115 Carnegie Bldg, University Pk, PA 16802 USA",USA
Kim,Taemin,Self- and Social Motivation to Interact with a Brand on Facebook: The Moderating Roles of Self-Expression and Brand Engagement in a Student Sample,"Kim, Taemin (1)| Kim, Okhyun (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Minnesota, Sch Journalism & Mass Commun, 111 Murphy Hall,206 Church St SE, Minneapolis, MN 55455 USA",USA
Kim,Junghyun,The Facebook Paths to Happiness: Effects of the Number of Facebook Friends and Self-Presentation on Subjective Well-Being,"Kim, Junghyun (1)| Lee, Jong-Eun Roselyn (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Kent State Univ, Sch Commun Studies, Kent, OH 44242 USA",USA
Kim,Jin,The institutionalization of YouTube: From user-generated content to professionally generated content,"Kim, Jin (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Coll St Rose, Dept Commun, Albany, NY 12203 USA",USA
Kim,So Jung,Korean bilingual children's conversations about gender in online books: a case study of critical media literacy in the United States,"Kim, So Jung (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Texas El Paso, Dept Teacher Educ, Early Childhood Educ, El Paso, TX 79968 USA",USA
Kim,Ada S.,Tweens' perspectives on their parents' media-related attitudes and rules: an exploratory study in the US,"Kim, Ada S. (1)| Davis, Katie (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Washington, Informat Sch, Seattle, WA 98195 USA",USA
Kim,Dong Hoo,'How do you feel about a disease?' The effect of psychological distance towards a disease on health communication,"Kim, Dong Hoo (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ N Carolina, Sch Media & Journalism, Chapel Hill, NC 27515 USA",USA
Kim,Yeojin,WHO ARE CITIZEN JOURNALISTS IN THE SOCIAL MEDIA ENVIRONMENT? Personal and social determinants of citizen journalism activities,"Kim, Yeojin (1)| Lowrey, Wilson (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Alabama, Coll Commun & Informat Sci, Tuscaloosa, AL 35487 USA",USA
KIM,MS,"RELATIONSHIPS AMONG ATTITUDES, BEHAVIORAL INTENTIONS, AND BEHAVIOR - A METAANALYSIS OF PAST RESEARCH .2.","KIM, MS (1)| HUNTER, JE (2)",2.52,0.39,94.47,0.02,1.96,0.65,"MICHIGAN STATE UNIV,DEPT PSYCHOL,E LANSING,MI 48824",USA
Kim,Nuri,Beyond Rationality: The Role of Anger and Information in Deliberation,"Kim, Nuri (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Stanford Univ, Woods Inst Environm, Stanford, CA 94305 USA",USA
Kim,JK,The variable influence of audience activity on media effects,"Kim, JK (1)| Rubin, AM (2)",2.52,0.39,94.47,0.02,1.96,0.65,"KENT STATE UNIV,SCH COMMUN STUDIES,KENT,OH 44242",USA
Kim,Jihyun,Effects of Supportive Feedback Messages on Exergame Experiences A Mediating Role of Social Presence,"Kim, Jihyun (1)| Timmerman, C. Erik (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Kent State Univ, Sch Commun Studies, Kent, OH 44242 USA",USA
Kim,Yong-Chan,"Community storytelling network, neighborhood context, and civic engagement: A multilevel approach","Kim, Yong-Chan (1)| Ball-Rokeach, Sandra J. (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Alabama, Coll Commun & Informat Sci, Dept Telecommun Engn, Tuscaloosa, AL 35487 USA",USA
KIM,HJ,SOCIAL NETWORKS AND THE DEVELOPMENT OF CLOSE RELATIONSHIPS,"KIM, HJ (1)| STIFF, JB (2)",2.52,0.39,94.47,0.02,1.96,0.65,"ARIZONA STATE UNIV,COMMUN,TEMPE,AZ 85287",USA
Kim,MS,When validity testing lacks validity - Comment on Levine et al.,"Kim, MS (1)| Raja, NS (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Hawaii Manoa, Dept Speech, Honolulu, HI 96822 USA",USA
Kim,Su Jung,A repertoire approach to cross-platform media use behavior,"Kim, Su Jung (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Iowa State Univ, Greenlee Sch Journalism & Commun, 116 Hamilton Hall, Ames, IA 50011 USA",USA
Kim,Min-Sun,The four cultures of cultural research,"Kim, Min-Sun (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Hawaii Manoa, Dept Speech, Honolulu, HI 96822 USA",USA
Kim,Minjeong,The Creative Commons and Copyright Protection in the Digital Era: Uses of Creative Commons Licenses,"Kim, Minjeong (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Hawaii Pacific Univ, Coll Commun, Honolulu, HI 96813 USA",USA
Kim,Jang Hyun,A Hyperlink and Semantic Network Analysis of the Triple Helix (University-Government-Industry): The Interorganizational Communication Structure of Nanotechnology,"Kim, Jang Hyun (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Hawaii, Dept Communicol, Honolulu, HI 96822 USA",USA
Kim,Mary Shin,Initiating Repair With and Without Particles: Alternative Formats of Other-Initiation of Repair in Korean Conversation,"Kim, Mary Shin (1)| Kim, Stephanie Hyeri (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Hawaii Manoa, Dept East Asian Languages & Literatures, Honolulu, HI 96822 USA",USA
Kim,Hye Ri Stephanie,Retroactive Indexing of Relevance: The Use of Well in Third Position,"Kim, Hye Ri Stephanie (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Calif Los Angeles, Dept Writing Programs, Los Angeles, CA 90095 USA",USA
Kim,Yeuseung,"""What Makes People """"Like"""" Comedic-Violence Advertisements? A Model for Predicting Attitude and Sharing Intention""","Kim, Yeuseung (1)| Yoon, Hye Jin (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Depaul Univ, Coll Commun, Chicago, IL 60604 USA",USA
Kim,YK,The effects of ethnicity and product on purchase decision making,"Kim, YK (1)| Kang, J (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ N Texas, Denton, TX 76203 USA",USA
Kim,Jooyoung,Association Ambiguity in Brand Extension,"Kim, Jooyoung (1)| Yoon, Hye Jin (2)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Georgia, Dept Advertising & Publ Relat, Grady Coll Journalism & Mass Commun, Athens, GA 30602 USA",USA
Kim,Kyun Soo,Public understanding of the politics of global warming in the news media: the hostile media approach,"Kim, Kyun Soo (1)",2.52,0.39,94.47,0.02,1.96,0.65,"Grambling State Univ, Dept Mass Commun, Grambling, LA 71245 USA",USA
Kim,Jeesun,"Making nice may not matter: The interplay of crisis type, response type and crisis issue on perceived organizational responsibility","im, Jeesun (1)| Kim, Hyo J. (2)| Cameron, Glen T. (3)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Missouri, Sch Journalism, Columbia, MO 65201 USA",USA
Kim,Daejoong,An analysis of corporate environmental responsibility on the global corporate Web sites and their dialogic principles,"im, Daejoong (1)| Nam, Yoonjae (2)| Kang, Sinuk (3)",2.52,0.39,94.47,0.02,1.96,0.65,"SUNY Buffalo, Dept Commun, Buffalo, NY 14260 USA",USA
Kim,SH,Think about it this way: Attribute agenda-setting function of the press and the public's evaluation of a local issue,"im, SH (1)| Scheufele, DA (2)| Shanahan, J (3)",2.52,0.39,94.47,0.02,1.96,0.65,"Cornell Univ, Dept Commun, Ithaca, NY 14853 USA",USA
Kim,Bokyung,What Corporations Say Matters More than What They Say They Do? A Test of a Truth Claim and Transparency in Press Releases on Corporate Websites and Facebook Pages,"im, Bokyung (1)| Hong, Seoyeon (2)| Cameron, Glen T. (3)",2.52,0.39,94.47,0.02,1.96,0.65,"Rowan Univ, Glassboro, NJ USA",USA
Kim,Eunkyung,Opinion Leaders in Online Cancer Support Groups: An Investigation of Their Antecedents and Consequences,"m, Eunkyung (1)| Scheufele, Dietram A. (2)| Han, Jeong Yeob (3)| Shah, Dhavan (4)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Wisconsin Madison, Sch Journalism & Mass Commun, Madison, WI USA",USA
Kim,Do Kyun,Innate Health Threat Among a Visibly Hidden Immigrant Group: A Formative Field Data Analysis for HIV/AIDS Prevention Among Zimbabwean Workers in Botswana,"im, Do Kyun (1)| Chikombero, Mandi (2)| Modie-Moroka, Tirelo (3)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Louisiana Lafayette, Dept Commun, Lafayette, LA 70403 USA",USA
Kim,Seunghyun,Consumers' responses to native vs. banner advertising: moderation of persuasion knowledge on interaction effects of ad type and placement type,"im, Seunghyun (1)| Youn, Seounmi (2)| Yoon, Doyle (3)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Oklahoma, Gaylord Coll Journalism & Mass Commun, Norman, OK 73019 USA",USA
Kim,YC,Internet connectedness before and after September 11 2001,"m, YC (1)| Jung, JY (2)| Cohen, EL (3)| Ball-Rokeach, SJ (4)",2.52,0.39,94.47,0.02,1.96,0.65,"Univ Alabama, Coll Commun & Informat Sci, Dept Telecommun & Film, Tuscaloosa, AL 35487 USA",USA
Kim,Eunjin (Anna),Why Narrative Ads Work: An Integrated Process Explanation,"im, Eunjin (Anna) (1)| Ratneshwar, S. (2)| Thorson, Esther (3)",2.52,0.39,94.47,0.02,1.96,0.65,"Southern Methodist Univ, Advertising, Temerlin Advertising Inst, Meadows Sch Arts, Dallas, TX USA",USA
Sui,Mingxiao,In Search of Reason-Centered Discussion on China's Twitter: The Effects of Initiating Post and Discussion Format on Reasoning,"Sui, Mingxiao (1)| Pingree, Raymond J. (2)",2.5,0.68,92.39,0,2.27,2.16,"Louisiana State Univ, Baton Rouge, LA 70803 USA",USA
Hyun,Ki Deuk,"Americanization of Web-Based Political Communication? A Comparative Analysis of Political Blogospheres in the United States, the United Kingdom, and Germany","Hyun, Ki Deuk (1)",2.48,(S),94.69,(S),2.25,0.4,"Grand Valley State Univ, Allendale, MI 49401 USA",USA
Yeh,Doug Hyun,"Changes in Cue-Induced, Prefrontal Cortex Activity with Video-Game Play",", Doug Hyun (1)| Kim, Yang Soo (2)| Lee, Yong Sik (3)| Min, Kyung Joon (4)| Renshaw, Perry F. (5)",2.47,(S),92.8,(S),3.42,1.11,"Univ Utah, Inst Brain, Salt Lake City, UT 84108 USA",USA
Yeh,Marie A.,The Myth/Fact Message Frame and Persuasion in Advertising: Enhancing Attitudes Toward the Mentally Ill,"Yeh, Marie A. (1)| Jewell, Robert D. (2)",2.47,(S),92.8,(S),3.42,1.11,"Loyola Univ Maryland, Sellinger Sch Business & Management, Mkt, Baltimore, MD 21210 USA",USA
Mishra,Smeeta,Islam in Cyberspace: South Asian Muslims in America Log In,"Mishra, Smeeta (1)| Semaan, Gaby (2)",2.42,0.14,94.28,0.27,2.31,0.57,"Bowling Green State Univ, Sch Commun Studies, Bowling Green, OH 43403 USA",USA
Kelkar,Shreeharsh,"Engineering a platform: The construction of interfaces, users, organizational roles, and the division of labor","Kelkar, Shreeharsh (1)",2.41,(S),94.65,0,2.67,(S),"Univ Calif Berkeley, Berkeley, CA 94720 USA",USA
Chang,TK,Mass communication research and the invisible college revisited: The changing landscape and emerging fronts in journalism-related studies,"Chang, TK (1)| Tai, ZX (2)",2.37,0.87,88.84,0.03,4.18,3.71,"Univ Minnesota, Sch Journalism & Mass Commun, Minneapolis, MN 55455 USA",USA
Chang,Pamara F.,Managing Stigma: Disclosure-Response Communication Patterns in Pro-Anorexic Websites,"Chang, Pamara F. (1)| Bazarova, Natalya N. (2)",2.37,0.87,88.84,0.03,4.18,3.71,"Cornell Univ, Dept Commun, Ithaca, NY 14850 USA",USA
Chang,HC,The effect of news teasers in processing TV news,"Chang, HC (1)",2.37,0.87,88.84,0.03,4.18,3.71,"Syracuse Univ, SI Newhouse Sch Publ Commun, Syracuse, NY 13244 USA",USA
Chang,Linchiat,Comparing Oral Interviewing with Self-Administered Computerized QuestionnairesAn Experiment,"Chang, Linchiat (1)| Krosnick, Jon A. (2)",2.37,0.87,88.84,0.03,4.18,3.71,"Stanford Univ, Stanford, CA 94305 USA",USA
Chang,Hua,Message framing in green advertising: the effect of construal level and consumer environmental concern,"hang, Hua (1)| Zhang, Lingling (2)| Xie, Guang-Xin (3)",2.37,0.87,88.84,0.03,4.18,3.71,"Philadelphia Univ, Sch Business Adm, Philadelphia, PA 19144 USA",USA
Krishnan,Archana,A multipronged evidence-based approach to implement mHealth for underserved HIV-infected populations,"Krishnan, Archana (1)| Cravero, Claire (2)",2.31,0.26,94.7,0.16,2.31,0.26,"SUNY Albany, Commun, Albany, NY 12222 USA",USA
Krishnan,SP,Health education at family planning clinics: Strategies for improving information about contraception and sexually transmitted diseases for low-income women,"Krishnan, SP (1)",2.31,0.26,94.7,0.16,2.31,0.26,"UNIV TEXAS,SW MED CTR,TEXAS WOMANS UNIV,DALLAS,TX",USA
KRISHNAN,R,CONTROLLING MAGAZINE CIRCULATION,"KRISHNAN, R (1)| SOLEY, L (2)",2.31,0.26,94.7,0.16,2.31,0.26,"UNIV MINNESOTA,SCH JOURNALISM & MASS COMMUN,MINNEAPOLIS,MN 55455",USA
CHE,GL,"EFFECTS OF DIALECT-ETHNICITY, SOCIAL-CLASS AND QUALITY OF WRITTEN COMPOSITIONS ON TEACHERS SUBJECTIVE EVALUATIONS OF CHILDREN","CHE, GL (1)| MICHLIN, M (2)| RUBIN, D (3)| SULLIVAN, A (4)",2.3,8.36,78.56,0.21,2.26,8.32,"UNIV MINNESOTA,DEPT CURRICULUM & INSTRUCT,MINNEAPOLIS,MN 55455",USA
Subramanian,Roma,Frames of Mental Illness in an Indian Daily Newspaper,"Subramanian, Roma (1)",2.29,(S),95.32,0.38,1.71,(S),"Univ Nebraska Omaha, Sch Commun, 6001 Dodge St, Omaha, NE 68182 USA",USA
Ndiaye,Khadidiatou,Using an Ecological Framework to Understand Parent-Child Communication about Nutritional Decision-Making and Behavior,"e, Khadidiatou (1)| Silk, Kami J. (2)| Anderson, Jennifer (3)| Horstman, Haley Kranstuber (4)| Carpenter, Amanda (5)| Hurley, Allison (6)| Proulx, Jeffrey (7)",2.29,93.86,(S),(S),2.45,1.08,"George Washington Univ, Sch Publ Hlth & Hlth Serv, Washington, DC 20037 USA",USA
He,Wu,Insights into the adoption of social media mashups,"He, Wu (1)| Zha, Shenghua (2)",2.29,(S),95.92,(S),0.49,0.97,"Old Dominion Univ, Dept Informat Technol & Decis Sci, Norfolk, VA 23529 USA",USA
He,Xiaoyu,Warm Communication Style Strengthens Expectations and Increases Perceived Improvement,"e, Xiaoyu (1)| Sun, Qinhua (2)| Stetler, Cinnamon (3)",2.29,(S),95.92,(S),0.49,0.97,"Furman Univ, Dept Psychol, 3300 Poinsett Highway, Greenville, SC 29613 USA",USA
Heo,Jun,Why Marketers Should Be More Transparent with the Ad Agencies They Hire Media Planners Say Their Relationships with Clients Suffer from Gaps in Marketers' Information,"Heo, Jun (1)| Sutherland, John C. (2)",2.27,(S),96.66,(S),0.45,(S),"Louisiana State Univ, Manship Sch Mass Commun, Baton Rouge, LA 70803 USA",USA
Su,Hua,Constant connection as the media condition of love: where bonds become bondage,"Su, Hua (1)",2.26,(S),93.36,(S),2,2.01,"Univ Iowa, 105 Becker Commun Studies Bldg, Iowa City, IA 52242 USA",USA
Su,Chiaoning,"One earthquake, two tales: narrative analysis of the tenth anniversary coverage of the 921 Earthquake in Taiwan","Su, Chiaoning (1)",2.26,(S),93.36,(S),2,2.01,"Temple Univ, Philadelphia, PA 19122 USA",USA
Su,Chunke,"Who Knows Who Knows What in the Group? The Effects of Communication Network Centralities, Use of Digital Knowledge Repositories, and Work Remoteness on Organizational Members' Accuracy in Expertise Recognition","Su, Chunke (1)",2.26,(S),93.36,(S),2,2.01,"Univ Texas Arlington, Dept Commun, Arlington, TX 76019 USA",USA
Tian,Yan,Media use and health information seeking: An empirical test of complementarity theory,"Tian, Yan (1)| Robinson, James D. (2)",2.26,(S),96.02,(S),0.59,0.7,"Univ Missouri, Dept Commun, St Louis, MO 63121 USA",USA
Tian,Dexin,The USTR Special 301 Reports: an analysis of the US hegemonic pressure upon the organizational change in China's IPR regime,"Tian, Dexin (1)",2.26,(S),96.02,(S),0.59,0.7,"Bowling Green State Univ, Sch Commun Studies, Bowling Green, OH 43403 USA",USA
Chung,Minwoong,Extending the Theory of Normative Social Behavior to Predict Hand-Washing among Koreans,"Chung, Minwoong (1)| Lapinski, Maria Knight (2)",2.25,2.28,90.01,0.03,4.02,1.4,"Michigan State Univ, Dept Commun, 459 Commun Arts & Sci,404 Wilson Rd, E Lansing, MI 48824 USA",USA
Chung,Myojung,Effects of Media Frame and Onset Controllability on Support for Postpartum Depression Policy,"Chung, Myojung (1)| Kim, Hye Kyung (2)",2.25,2.28,90.01,0.03,4.02,1.4,"Northeastern Univ, Sch Journalism, 360 Huntington Ave, Boston, MA 02115 USA",USA
Chung,Jae Eun,A Smoking Cessation Campaign on Twitter: Understanding the Use of Twitter and Identifying Major Players in a Health Campaign,"Chung, Jae Eun (1)",2.25,2.28,90.01,0.03,4.02,1.4,"Howard Univ, Sch Commun, 525 Bryant St NW, Washington, DC 20059 USA",USA
Chung,Sungwon,Motivated Processing of Peripheral Advertising Information in Video Games,"Chung, Sungwon (1)| Sparks, Johnny V. (2)",2.25,2.28,90.01,0.03,4.02,1.4,"Texas Tech Univ, Instruct Technol Program, Coll Educ, Lubbock, TX 79409 USA",USA
Chung,Jee Young,Public relations aspects of brand attitudes and customer activity,"hung, Jee Young (1)| Lee, Jaesub (2)| Heath, Robert L. (3)",2.25,2.28,90.01,0.03,4.02,1.4,"Southern Utah Univ, Dept Commun, Cedar City, UT 84720 USA",USA
Jha,Sonora,Exploring internet influence on the coverage of social protest: Content analysis comparing protest coverage in 1967 and 1999,"Jha, Sonora (1)",2.25,(S),94.98,(S),2.05,0.33,"Seattle Univ, Dept Commun, Seattle, WA 98122 USA",USA
You,Leping,"The bystander effect in cyberbullying on social network sites: Anonymity, group size, and intervention intentions","You, Leping (1)| Lee, Yu-Hao (2)",2.24,0.5,94.54,0.13,1.7,0.9,"Univ Florida, Coll Journalism & Commun, POB 118400, Gainesville, FL 32611 USA",USA
You,Kyung Han,Participatory or deliberative democracy? Exploring the mediation effects of perceived online deliberation and online interactive activities on social outcomes,"u, Kyung Han (1)| Lee, Jeong Kyu (2)| Kang, Hyunjin (3)| Go, Eun (4)",2.24,0.5,94.54,0.13,1.7,0.9,"Penn State Univ, Coll Commun, University Pk, PA 16802 USA",USA
Seo,Hogeun,Emotion Matters: What Happens Between Young Children and Parents in a Touchscreen World,"Seo, Hogeun (1)| Lee, Claire Shinhea (2)",2.23,0.38,95.66,0.07,1.05,0.6,"Univ Texas Austin, Austin, TX 78712 USA",USA
Seo,Soomin,One Foot in Prison and One Foot Out: State-Appointed Local Journalistic Labor in North Korea,"Seo, Soomin (1)",2.23,0.38,95.66,0.07,1.05,0.6,"Temple Univ, Dept Journalism, Klein Coll Media & Commun, Philadelphia, PA 19122 USA",USA
Seo,Hyunjin,Three Korean perspectives on US internet public diplomacy,"Seo, Hyunjin (1)| Kinsey, Dennis F. (2)",2.23,0.38,95.66,0.07,1.05,0.6,"Univ Kansas, William Allen White Sch Journalism & Mass Commun, Lawrence, KS 66045 USA",USA
